==PROF== Connected to process 2302549 (/home/duo.an/workspaces/playground-cuda/build/10_flash_attention_v3)
==PROF== Disconnected from process 2302549
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0"
"0","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","5.77"
"0","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","1,232"
"0","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","13.98"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","0.03"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","15,488"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","32"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","4"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","28"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","136"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","0.05"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","12.32"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0.32"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","2.94"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","1,232"
"1","2302549","10_flash_attention_v3","127.0.0.1","<unnamed>::flash_attention_v3_pipeline_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(4, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","16.53"
